2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 2,Code,Section,Course,Credits,Course Time,Days,Instructor,9:30 AM,ITH215,E2,Networking I,2,9:30 AM-11:00 AM,MTW,Ben Fletcher,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 2,Code,Section,Course,Credits,Course Time,Days,Instructor,10:00 AM,BUS355,2,Applied Business Systems & Practices,4,10:00 AM-11:50 AM,MTWHF,Jerry Pay,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 2,Code,Section,Course,Credits,Course Time,Days,Instructor,10:00 AM,CSC150,B,Object Oriented Programming and Design,6,10:00 AM-11:50 AM,MTWHF,Matt Warner,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 2,Code,Section,Course,Credits,Course Time,Days,Instructor,10:00 AM,CSC150,C,Object Oriented Programming and Design,6,10:00 AM-11:50 AM,MTWHF,Ryan Cox,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 2,Code,Section,Course,Credits,Course Time,Days,Instructor,10:00 AM,CSC180,,Open Source Platforms Development,4,10:00 AM-10:50 AM,MTWHF,Ron Price,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 2,Code,Section,Course,Credits,Course Time,Days,Instructor,10:00 AM,CSC390,,Operating Systems,3,10:00 AM-10:50 AM,MTWH,Steve Halladay,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 2,Code,Section,Course,Credits,Course Time,Days,Instructor,10:00 AM,FAC120,A,Spoken Communications,3,10:00 AM-10:50 AM,MTWH,Jeremiah Harrison,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 2,Code,Section,Course,Credits,Course Time,Days,Instructor,10:00 AM,MAT105,2,College Algebra,3,10:00 AM-11:20 AM,MTWHF,Eric Kohler,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 2,Code,Section,Course,Credits,Course Time,Days,Instructor,10:00 AM,MTM450,2,Web Game Development,4,10:00 AM-11:50 AM,MTWHF,Tom Beatty,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 2,Code,Section,Course,Credits,Course Time,Days,Instructor,10:00 AM,PRO220,2,Server Administration I Project,2,10:00 AM-11:50 AM,MTWHF,Kerry Cox,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 2,Code,Section,Course,Credits,Course Time,Days,Instructor,10:00 AM,PSC226,B2,Introductory Physics,2,10:00 AM-10:50 AM,MTWHF,Mark Herrera,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 2,Code,Section,Course,Credits,Course Time,Days,Instructor,11:00 AM,CSC280,A,Developing Scalable Web Applications,4,11:00 AM-11:50 AM,MTWHF,Ron Price,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 2,Code,Section,Course,Credits,Course Time,Days,Instructor,11:00 AM,CSC460,,Industry Trends in Software Development,4,11:00 AM-11:50 AM,MTWHF,Steve Halladay,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 2,Code,Section,Course,Credits,Course Time,Days,Instructor,11:00 AM,FAC120,B,Spoken Communications,3,11:00 AM-11:50 AM,MTWH,Jeremiah Harrison,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 2,Code,Section,Course,Credits,Course Time,Days,Instructor,11:00 AM,HUM205,,Ethics,3,11:00 AM-11:50 AM,MTWH,Mark Herrera,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
